year,births,total_fertility_rate,is_provisional,births_yoy_change,births_yoy_pct,tfr_yoy_change
1970,1006645.0,4.53,False,,,
1971,1024773.0,4.54,False,18128.0,1.8008334616473443,0.009999999999999787
1972,952780.0,4.12,False,-71993.0,-7.025263155840367,-0.41999999999999993
1973,965521.0,4.07,False,12741.0,1.3372446944730054,-0.04999999999999982
1974,922823.0,3.77,False,-42698.0,-4.422275641855533,-0.30000000000000027
1975,874030.0,3.43,False,-48793.0,-5.2873627987165435,-0.33999999999999986
1976,796331.0,3.0,False,-77699.0,-8.88974062675194,-0.43000000000000016
1977,825339.0,2.99,False,29008.0,3.642706362052972,-0.009999999999999787
1978,750728.0,2.64,False,-74611.0,-9.040042939931347,-0.3500000000000001
1979,862669.0,2.9,False,111941.0,14.91099306273378,0.2599999999999998
1980,862835.0,2.82,False,166.0,0.019242606376268512,-0.08000000000000007
1981,867409.0,2.57,False,4574.0,0.5301129416400485,-0.25
1982,848312.0,2.39,False,-19097.0,-2.2016142327321964,-0.17999999999999972
1983,769155.0,2.06,False,-79157.0,-9.331118739331757,-0.33000000000000007
1984,674793.0,1.74,False,-94362.0,-12.26826842443981,-0.32000000000000006
1985,655489.0,1.66,False,-19304.0,-2.860729142122098,-0.08000000000000007
1986,636019.0,1.58,False,-19470.0,-2.9703015611245998,-0.07999999999999985
1987,623831.0,1.53,False,-12188.0,-1.9162949534526463,-0.050000000000000044
1988,633092.0,1.55,False,9261.0,1.4845366774014046,0.020000000000000018
1989,639431.0,1.56,False,6339.0,1.0012762758019322,0.010000000000000009
1990,649738.0,1.57,False,10307.0,1.6119018314720401,0.010000000000000009
1991,709275.0,1.71,False,59537.0,9.163231948877847,0.1399999999999999
1992,730678.0,1.76,False,21403.0,3.0175883825032557,0.050000000000000044
1993,715826.0,1.654,False,-14852.0,-2.032632705514603,-0.1060000000000001
1994,721185.0,1.656,False,5359.0,0.7486456205837655,0.0020000000000000018
1995,715020.0,1.634,False,-6165.0,-0.8548430707793431,-0.02200000000000002
1996,691226.0,1.574,False,-23794.0,-3.327739084221415,-0.05999999999999983
1997,675394.0,1.537,False,-15832.0,-2.290423103297623,-0.037000000000000144
1998,641594.0,1.464,False,-33800.0,-5.004486270236342,-0.07299999999999995
1999,620668.0,1.425,False,-20926.0,-3.2615641667471995,-0.038999999999999924
2000,640089.0,1.48,False,19421.0,3.129048057898909,0.05499999999999994
2001,559934.0,1.309,False,-80155.0,-12.522477342994486,-0.17100000000000004
2002,496911.0,1.178,False,-63023.0,-11.255433676111826,-0.131
2003,495036.0,1.191,False,-1875.0,-0.37733115185616395,0.013000000000000123
2004,476958.0,1.164,False,-18078.0,-3.6518556226213805,-0.027000000000000135
2005,438707.0,1.085,False,-38251.0,-8.019783712612016,-0.07899999999999996
2006,451759.0,1.132,False,13052.0,2.9751063921934273,0.04699999999999993
2007,496822.0,1.259,False,45063.0,9.975008798939268,0.127
2008,465892.0,1.192,False,-30930.0,-6.225569721147616,-0.06699999999999995
2009,444849.0,1.149,False,-21043.0,-4.516712027680237,-0.04299999999999993
2010,470171.0,1.226,False,25322.0,5.692268612495477,0.07699999999999996
2011,471265.0,1.244,False,1094.0,0.2326813010585571,0.018000000000000016
2012,484550.0,1.297,False,13285.0,2.8190084135252924,0.052999999999999936
2013,436455.0,1.187,False,-48095.0,-9.925704261686096,-0.10999999999999988
2014,435435.0,1.205,False,-1020.0,-0.23370106883870978,0.018000000000000016
2015,438420.0,1.239,False,2985.0,0.6855213751765454,0.03400000000000003
2016,406243.0,1.172,False,-32177.0,-7.339309338077637,-0.06700000000000017
2017,357771.0,1.052,False,-48472.0,-11.931774824427743,-0.11999999999999988
2018,326822.0,0.977,False,-30949.0,-8.650505490942528,-0.07500000000000007
2019,302676.0,0.918,False,-24146.0,-7.388119526837233,-0.05899999999999994
2020,272337.0,0.837,False,-30339.0,-10.02358958093803,-0.08100000000000007
2021,260562.0,0.808,False,-11775.0,-4.323687196378012,-0.028999999999999915
2022,249186.0,0.778,False,-11376.0,-4.36594745204596,-0.030000000000000027
2023,230028.0,0.721,False,-19158.0,-7.688232886277724,-0.05700000000000005
2024,238317.0,0.748,False,8289.0,3.603474359643166,0.027000000000000024
2025,254457.0,0.8,True,16140.0,6.772492100857264,0.052000000000000046
